"Continent","Android","iOS","Samsung","Unknown","Windows","KaiOS","Series 40"
Puerto Rico ,48.19,51.45,0,0,0,0,0
Malawi ,94.51,3.59,0,1.56,0,0,0
Somalia ,88.01,11.76,0,0,0,0,0
Macao ,44.53,55.18,0,0,0,0,0
Guinea-Bissau ,85.4,14.05,0,0,0,0,0
Gambia ,74.38,25.52,0,0,0,0,0
Honduras ,66.14,33.56,0,0,0,0,0
Madagascar ,92.1,6.63,0,0,0,0,0
Cuba ,93.33,6.59,0,0,0,0,0
Maldives ,66.77,33.16,0,0,0,0,0
Lao Peoples Democratic Republic ,70.02,29.8,0,0,0,0,0
Montenegro ,72.41,26.56,1.03,0,0,0,0
Moldova ,70.95,28.65,0,0,0,0,0
Jamaica ,60.97,38.47,0,0,0,0,0
Trinidad and Tobago ,65.51,33.73,0,0,0,0,0
Reunion ,78.04,21.83,0,0,0,0,0
Estonia ,61.28,38.11,0,0,0,0,0
Sierra Leone ,89.7,7.82,0,2.27,0,0,0
Namibia ,84.23,15.35,0,0,0,0,0
Nicaragua ,80.82,19,0,0,0,0,0
Niger ,91.22,8.39,0,0,0,0,0
Luxembourg ,57.37,41.55,1.04,0,0,0,0
French Polynesia ,91.48,8.47,0,0,0,0,0
Malta ,57.46,42.21,0,0,0,0,0
Armenia ,63.29,36.4,0,0,0,0,0
Belize ,28,71.88,0,0,0,0,0
Equatorial Guinea ,81.1,17.77,0,0,0,1.08,0
Botswana ,89.13,10.46,0,0,0,0,0
Liberia ,86.5,9.01,0,4.34,0,0,0
Papua New Guinea ,95.05,4.02,0,0,0,0,0
Kyrgyz Republic ,77.24,22.68,0,0,0,0,0
Brunei Darussalam ,68.7,30.95,0,0,0,0,0
Mongolia ,61.07,38.72,0,0,0,0,0
American Samoa ,2.42,97.57,0,0,0,0,0
Djibouti ,91.56,8.39,0,0,0,0,0
New Caledonia ,91.11,8.82,0,0,0,0,0
Guadeloupe ,79.57,20.16,0,0,0,0,0
Rwanda ,80.29,16.3,0,3.24,0,0,0
Central African Republic ,91.89,4.47,0,3.54,0,0,0
Cape Verde ,74.92,24.81,0,0,0,0,0
Iceland ,43.81,55.71,0,0,0,0,0
Swaziland ,92.69,6.94,0,0,0,0,0
Martinique ,79.6,20.14,0,0,0,0,0
Lesotho ,93.43,6,0,0,0,0,0
Suriname ,79.25,20.58,0,0,0,0,0
Barbados ,67.71,31.88,0,0,0,0,0
Fiji ,84.59,15.24,0,0,0,0,0
Burundi ,87.5,10.62,0,1.73,0,0,0
Tajikistan ,86.87,13.06,0,0,0,0,0
Guyana ,80.57,19.07,0,0,0,0,0
Aruba ,49.92,49.91,0,0,0,0,0
French Guiana ,83.83,16.04,0,0,0,0,0
Jersey ,38.4,60.88,0,0,0,0,0
Andorra ,33.06,66.77,0,0,0,0,0
Comoros ,87.26,12.71,0,0,0,0,0
Isle of Man ,42.91,56.7,0,0,0,0,0
Seychelles ,75.89,23.66,0,0,0,0,0
Timor-Leste ,83.84,16.01,0,0,0,0,0
Mayotte ,90.76,9.21,0,0,0,0,0
Guernsey ,36.33,63.45,0,0,0,0,0
Faroe Islands ,15.59,84.1,0,0,0,0,0
Antigua and Barbuda ,59.94,38.25,1.75,0,0,0,0
Gibraltar ,70.83,28.91,0,0,0,0,0
Guam ,47.45,52.12,0,0,0,0,0
Saint Lucia ,66.67,33.03,0,0,0,0,0
Bhutan ,86.59,13.13,0,0,0,0,0
Cayman Islands ,48.62,51.06,0,0,0,0,0
Vanuatu ,85.65,14.21,0,0,0,0,0
Grenada ,66.9,32.83,0,0,0,0,0
Solomon Islands ,91.66,8.17,0,0,0,0,0
Saint Kitts and Nevis ,66.69,32.85,0,0,0,0,0
Saint Vincent and the Grenadines ,69.94,29.71,0,0,0,0,0
Sao Tome and Principe ,96.12,3.78,0,0,0,0,0
Cook Islands ,52.4,47.41,0,0,0,0,0
Dominica ,75.64,22.67,1.68,0,0,0,0
Turks and Caicos Islands ,39.93,59.84,0,0,0,0,0
Monaco ,34.75,64.9,0,0,0,0,0
Northern Mariana Islands ,77.21,22.75,0,0,0,0,0
Greenland ,46.47,52.9,0,0,0,0,0
Liechtenstein ,39.15,60.08,0,0,0,0,0
Tonga ,84.42,15.52,0,0,0,0,0
British Virgin Islands ,45.37,54.36,0,0,0,0,0
Saint Pierre and Miquelon ,15.23,84.69,0,0,0,0,0
Samoa ,77.06,22.81,0,0,0,0,0
Anguilla ,35.28,64.46,0,0,0,0,0
Palau ,71.56,28.21,0,0,0,0,0
Saint Martin ,49.42,50.5,0,0,0,0,0
Micronesia ,81.41,18.53,0,0,0,0,0
San Marino ,60.99,38.23,0,0,0,0,0
Wallis and Futuna ,81.9,18.08,0,0,0,0,0
Nauru ,93.8,6.01,0,0,0,0,0
Kiribati ,96.07,3.89,0,0,0,0,0
Marshall Islands ,68.1,31.9,0,0,0,0,0
Saint Barthelemy ,26.76,73.24,0,0,0,0,0
Tuvalu ,96.8,3.2,0,0,0,0,0
Turkmenistan ,71.59,26.29,0,0,0,0,1.21
Eritrea ,95.98,3.96,0,0,0,0,0
Falkland Islands (Malvinas) ,70.83,28.65,0,0,0,0,0
Montserrat ,56.71,42.91,0,0,0,0,0
Saint Helena ,92.57,7.16,0,0,0,0,0
Tokelau ,6.91,93.09,0,0,0,0,0
Niue ,1.93,98.07,0,0,0,0,0
Holy See (Vatican City State) ,54.33,45.59,0,0,0,0,0
Norfolk Island ,62.72,37.16,0,0,0,0,0
Svalbard & Jan Mayen Islands ,99.13,0,0,0,0,0,0
North Korea ,49.37,50.63,0,0,0,0,0
Pitcairn Islands ,76.19,23.81,0,0,0,0,0
Western Sahara ,33.33,0,66.67,0,0,0,0
Christmas Island ,0,100,0,0,0,0,0
